,Description,City,Category,Payment Information,Paid,Header,Date,Time
10,"🇲🇪 The world's largest book fair on the ship **Logos Hope** will sail from the port of the Montenegrin city of Bar on November 9 and [arrive](https://bokanews.me/logos-hope-najveci-svjetski-plutajuci-sajam-knjiga -od-9-do-23-novembra-u-marini-portonovi/) to the marina of the luxury Montenegrin resort Portonovi.

Logos Hope will be open to the public in Portonovi from 9 to 21 November 2022, from Tuesday to Friday from 10:00 to 18:00, and on Saturdays and Sundays from 14:00 to 21:00.

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Bar,5,,False,🇲🇪 The world's largest book fair on the ship **Logos Hope** will sail from the port of the Montenegrin city of Bar on November 9 and [arrive](https://bokanews.me/logos-hope-najveci-svjetski-plutajuci-sajam-knjiga -od-9-do-23-novembra-u-marini-portonovi/) to the marina of the luxury Montenegrin resort Portonovi.,11/13/2022,10:00
11,"13.11 at 22:00 only for 18+ exclusive show program presented by duo DIVA in the restaurant X atelier Budva Zrtva Fasizma 13
Order with table deposit by phone +38269195787
WILL BE HOT",Budva,2,,False,"13.11 at 22:00 only for 18+ exclusive show program presented by duo DIVA in the restaurant X atelier Budva Zrtva Fasizma 13
Order with table deposit by phone +38269195787
WILL BE HOT",11/13/2022,22:00
12,"🎨Art-evening ""Music of the Middle Ages: secrets and legends""

Dear friends, on November 15, we invite you to an evening about music in the atmosphere of an intellectual salon: an exquisite restaurant space, good wine, and most importantly, a serious and at the same time witty story about the amazing and mysterious world of medieval music.

At the evening we will discuss:
🎶When does the musical Middle Ages begin and end?
🎶How and why did you listen, compose and perform music then? And what kind of music has come down to us?
🎶How is music preserved in general and do we really hear what we listened to 700 and 900 years ago?

🎓 Speaker: Danil Ryabchikov is one of the leading researchers and musicians specializing in the study and performance of medieval music. Author of books, articles and podcasts on music history
📍 Location: Tivat, Theodorus restaurant
⏰ When: November 15 at 19:00
💶 Participation fee: 20€
(We treat all guests with a glass of wine)

💌 Seats are limited!
Pre-registration required: TG @Anna_Goncharova365 or what's up number
+380978662612

See you on a date with art🥂",Tivat,4,20 €,True,"🎨Art-evening ""Music of the Middle Ages: secrets and legends""

Dear friends, on November 15, we invite you to an evening about music in the atmosphere of an intellectual salon: an exquisite restaurant space, good wine, and most importantly, a serious and at the same time witty story about the amazing and mysterious world of medieval music.",11/15/2022,19:00
13,"🇲🇪 In Montenegrin Herceg Novi from November 19 to 20 [will be held] (https://bokanews.me/herceg-novi-jesenja-festa-19-i-20-novembra/) the traditional **Autumn Festival.**

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Herceg Novi,5,,False,🇲🇪 In Montenegrin Herceg Novi from November 19 to 20 [will be held] (https://bokanews.me/herceg-novi-jesenja-festa-19-i-20-novembra/) the traditional **Autumn Festival.,11/19/2022,00:00
14,"🇲🇪 On the embankment of the Montenegrin city of Tivat tomorrow November 8 [will be held] (https://bokanews.me/gpd-tivat-promenadnim-koncertom-obiljezava-113-godina-postojanja/) a musical procession will be held on the occasion of 113 years since the founding of the Society of Musical enlightenment of Tivat.

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Tivat,2,,False,🇲🇪 On the embankment of the Montenegrin city of Tivat tomorrow November 8 [will be held] (https://bokanews.me/gpd-tivat-promenadnim-koncertom-obiljezava-113-godina-postojanja/) a musical procession will be held on the occasion of 113 years since the founding of the Society of Musical enlightenment of Tivat.,11/08/2022,00:00
15,"Hi all!

November 18th. Budva. stand-up.

Stand-Up Concert from one of the pioneers of Russian Stand-Up Comedy.

Igor Meyerson
""The only stand-up comedian in Montenegro.""
Guest comedians take part in the concert.

Igor Meyerson
⚡️Comedy Club Resident and Leningrad Stand-Up Club
⚡️Creator of Comedy Battle
⚡️Marshstream Solo Fest Winner (San Francisco)
⚡️ Included in the Best of the Fest of the Fringe Festival (Edinburgh)

""Meyerson is a great comedian, funny and wise, like the grandma you always dreamed of."" (Dylan Moran)

Waiting for you!

Budva. ITbranch.house
11/18/22
19.00

Tickets at https://igormeerson.com/taplink

Seats are limited, so it's best to buy tickets online in advance🙌🏻",Budva,8,,False,Hi all!,11/18/2022,00:00
16,"🇲🇪🇷🇺 Yesterday in the resort capital of Montenegro, Budva, two concerts of the Russian stand-up comedian [Denis Chuzhoy] took place (https://www.youtube.com/c/Denis Chuzhoy).

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Budva,8,,False,"🇲🇪🇷🇺 Yesterday in the resort capital of Montenegro, Budva, two concerts of the Russian stand-up comedian [Denis Chuzhoy] took place (https://www.youtube.com/c/Denis Chuzhoy).",11/14/2022,00:00
17,"**Logos Hope Floating Book Fair

**📅 November 9 - 20 (except Mon)
⌚️ 10:00 - 21:00 ➡️ Tue - Sat
⌚️ 14:00 - 21:00 ➡️ Sun
📍[Porto Novi](https://goo.gl/maps/XJG82mCeR2raHWdD8) Herceg Novi

🗣 English
**🎟 1€** (under 12 and over 65 free)

Logos Hope is not just a ship, but the world's largest floating book fair. Basically, Christian literature is presented on board. The crew of the ship is made up of volunteers from all over the world. I think this is an interesting and unusual project, it is worth visiting. An identity card (passport or personal card) is required to enter.

#books #excursion",Herceg Novi,7,1 €,True,"**Logos Hope Floating Book Fair

**📅 November 9 - 20 (except Mon)
⌚️ 10:00 - 21:00 ➡️ Tue - Sat
⌚️ 14:00 - 21:00 ➡️ Sun
📍[Porto Novi](https://goo.gl/maps/XJG82mCeR2raHWdD8) Herceg Novi

🗣 English
**🎟 1€** (under 12 and over 65 free)

Logos Hope is not just a ship, but the world's largest floating book fair.",,
18,"Hi all! My name is Alexander. My family and I recently moved to Budva and organize leisure activities for children and adults😉 I am a coach of school teams in mind games (what? where? when?, brain ring, my own game and others), as well as the organizer and host of intellectual tournaments and QUIZ adults. November 5 (Saturday) we will have another game in Budva😉 The fee for the games is 5-7 euros per person. Viber / whatsapp / telegram +79058261602. We will be glad to meet you! Thank you!",Budva,7,7 €,True,Hi all!,11/05/2022,00:00
19,"5.11 SVET | House5 Club, Tivat

We are glad to invite everyone to bathe again in the rays of electronic sound from the SVET team, who was last time remembers this atmosphere and who was not, can feel it for themselves!

SVET is a series of parties where there are no accidents, where everyone is welcome, everyone is their own ... We continue to highlight hearts as part of a European tour this time in such a beloved and hospitable Montenegro! Meet Tivat! We will shine even louder, even more beautiful in the House5, Tivat club.

Line Up: Beat Inside, Buba, Aniselle

Free admission

Table Reserve: @Che_Beatinside",Kotor,7,,False,"5.11 SVET | House5 Club, Tivat

We are glad to invite everyone to bathe again in the rays of electronic sound from the SVET team, who was last time remembers this atmosphere and who was not, can feel it for themselves!",11/05/2022,00:00
20,"BUDVA 🇲🇪

ART PARTY 🎉

We offer a stylish and creative way to spend time off 😎

Program :

🔥 3 hours of creative reboot awaits you at the PERLA restaurant, a cozy company, gifts from us 🎁

🔥 Professional canvases, all material, inventory, creative paintings!

🔥 A glass of wine and snacks from the restaurant!

🔥 Professional photographer!

📍November 6 - SUNDAY, starting at 13:00!
📍Price 55 €, all inclusive!
📍No experience or skills needed, everyone can do it! We have a large selection of different paintings for you 👌

WAITING FOR YOU 🥳

Telegram : @art_mont

Instagram : http://instagram.com/ru_art_monte",Budva,4,55 €,True,"BUDVA 🇲🇪

ART PARTY 🎉

We offer a stylish and creative way to spend time off 😎

Program :

🔥 3 hours of creative reboot awaits you at the PERLA restaurant, a cozy company, gifts from us 🎁

🔥 Professional canvases, all material, inventory, creative paintings!",11/13/2022,13:00
21,Ethnic music performed by the virtuoso performer Vladislav Ramanovsky. We are waiting for you at the restaurant X atelier 5.11 at 20:00 at Budva Zrtva Fasizma 13 tel +38269195787,Budva,2,,False,Ethnic music performed by the virtuoso performer Vladislav Ramanovsky.,11/05/2022,20:00
22,"We invite the youngest viewers with their parents to a performance in the ""baby theater"" genre called ""Sea Story"".
This is a special genre for special audiences. A child, at this particular age (1-3 years), first encounters such an art form as theater.
Performances of the ""baby theater"" genre are held with a minimum of words, so the audience is not limited by any language barriers and what is happening on the stage is clear to all children.
The performances will take place on November 05 (Saturday) and November 06 (Sunday), at 10:00.
Address: Budva, Zavala, Harmonia by Dukley hotel
Price: 10e (child + adult).
Duration: 40 min.
Booking tickets by phone. +38269740077 (WA, Vib, Tel)",Budva,4,,False,"We invite the youngest viewers with their parents to a performance in the ""baby theater"" genre called ""Sea Story"".",11/13/2022,10:00
23,"Friends, already this Saturday, November 5, Open heArt Studio invites you to a warm evening in the company of the Two Yegors group and Ekaterina Yashnikova.

Especially for your convenience, we made a cool bot - kamon to get acquainted with the guys and the details of the concert 👉🏻
https://t.me/concert_5nov_bot

📍Saturday, November 5, 20:00
Art Studio ""Open HeArt""
Entrance: 10€

🎫 Buy tickets in advance from @liya_flow

🗺️ Studio location 👉
https://goo.gl/maps/vmpTDU3BFWMPbnzT7

📺 Subscribe to our channel 👉
https://t.me/openheartstudio",,4,10 €,True,"Friends, already this Saturday, November 5, Open heArt Studio invites you to a warm evening in the company of the Two Yegors group and Ekaterina Yashnikova.",11/05/2022,20:00
24,"🇲🇪 In Tivat, on November 4 at 18:00 on the city's Pine embankment, a Culinary Heritage Fair will be held, dedicated to the promotion of traditional dishes of the Bay of Kotor.

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Kotor,5,,False,"🇲🇪 In Tivat, on November 4 at 18:00 on the city's Pine embankment, a Culinary Heritage Fair will be held, dedicated to the promotion of traditional dishes of the Bay of Kotor.",11/04/2022,18:00
25,"🎭 In our Musical Theater in Tivat, rehearsals of the mini-opera ""The Snow Queen"" begin.

We invite children from 5 years old to participate in the performance.
A casting is underway for the role of Gerda, the main character of the opera.

The performance will take place on December 24, 2022, at the House of Culture in Donja Lastva - Tivat. Where are our rehearsals?

❗️ We are waiting for you on Tuesdays and Saturdays from 13.00 to 16.00.

Sincerely - the head of the theater - Raisa.

For all questions, contact in private messages @v7mikhailov
on facebook
https://www.facebook.com/raisa.mihajlova1

or any messenger by phone +382 68 5432 48",Tivat,7,,False,"🎭 In our Musical Theater in Tivat, rehearsals of the mini-opera ""The Snow Queen"" begin.",11/05/2022,00:00
26,"🇲🇪 Traditional ninth fair **Best of Montenegro** [will be held](https://bokanews.me/tradicionalni-sajam-najbolje-iz-crne-gore-4-i-5-novembra/) on Friday and Saturday, November 4 and 5, at the BIG shopping center in Podgorica.

Montenegrin farm products will be presented: honey, bee products, olives, olive oil, fish products, fruits and vegetables, sausages, wines, juices, cheeses and dairy products, teas and medicinal herbs.

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Podgorica,5,,False,"🇲🇪 Traditional ninth fair **Best of Montenegro** [will be held](https://bokanews.me/tradicionalni-sajam-najbolje-iz-crne-gore-4-i-5-novembra/) on Friday and Saturday, November 4 and 5, at the BIG shopping center in Podgorica.",11/14/2022,00:00
27,"🎨Art evening
""Paul Cezanne: Dialogue of Space and Form""

Dear friends, we are pleased to invite you on November 8 to the next chamber lecture. Let's meet for a glass 🍷, get to know each other, communicate and be inspired by the beautiful

Let's talk about the life and work of Cezanne - a serious analyst, subtle poet and reformer of painting.
At the evening we will discuss:
🎨 Why did Matisse and Picasso call him the father of modern art?
How did Cezanne change painting?
🎨Why was post-impressionism NOT after impressionism?

🎓 Speaker: Sofya Aksenova, art critic, graduate of Moscow State University, researcher at the Tretyakov Gallery
📍 Location: Gradska kafana restaurant in Herceg Novi
⏰ When: 8 November at 18:00
💶 Participation fee: 15€
(We treat all guests with a glass of wine)

💌 Seats are limited!
Pre-registration required: TG @Anna_Goncharova365 or what's up number
+380978662612

See you on a date with art 🥂",Herceg Novi,4,15 €,True,"🎨Art evening
""Paul Cezanne: Dialogue of Space and Form""

Dear friends, we are pleased to invite you on November 8 to the next chamber lecture.",11/08/2022,18:00
28,"Friends ! While the weather is fine and there is still an opportunity to dance outdoors, we invite you to dance Argentine tango at the BRAVA milonga on Saturday November 5 in the very center of Budva - on the terrace of the Fontana - Hotel&Gastronomy hotel!
The musical mood of this evening will be created by our guest - already familiar and beloved DJ DMarkoJ (Tivat)!
Time: 19.00-22.00
Entrance: 5 euro
Address : Slovenska Obala 23, Budva

☎️+382 69 283 757 (WhatsApp)",Budva,2,5 €,True,Friends !,11/05/2022,00:00
29,"Blue Cat - Art cafe-bar in the center of the old town of Budva!

30.10 this Sunday you will find live music and a 20% discount on the second cocktail from 20:00-22:00 💃

We invite everyone to look into this cozy place💫.

Waiting for you:
- Good music🎶
- Nice and atmospheric environment💃
- Affectionate, local cats🐈‍⬛
- Exclusive COCKTAILS from the bartender!🍹

Our Instagram: bluecatartcafe",Budva,2,,False,Blue Cat - Art cafe-bar in the center of the old town of Budva!,11/13/2022,20:00
30,"🇲🇪 We continue to introduce you to the musicians of Tantra Brothers Party🔥

🎧 Immediately after the Tantra Brothers concert, Anja Haotika will pick up the vibe

A high listening ear and years of clubbing have formed a taste for music that wants to be shared. Anya's sets rarely do without experiments: she easily mixes styles and trends, but at the same time you will always recognize her sound in dark disco, tech house, electro streams.
This night, this Siberian girl will delight us with such musical styles as nu disco, tech&funky house 🕺
Believe me, no one will sit in front of her dance set this night 🤩

📍Waiting for you 29.10 at 21:00, Budva, Torch club.
Entrance 10€

🏷️ buy a ticket
https://api.whatsapp.com/send?phone=79030175874",Budva,2,10 €,True,"🇲🇪 We continue to introduce you to the musicians of Tantra Brothers Party🔥

🎧 Immediately after the Tantra Brothers concert, Anja Haotika will pick up the vibe

A high listening ear and years of clubbing have formed a taste for music that wants to be shared.",11/29/2022,21:00
31,"🇲🇪 Alendar Alina is an IG/FB targetologist, marketer, contextualist with 5 years of experience.

I understand how difficult it is to find clients and buyers in a new place. Therefore, I decided to help businesses that moved to Montenegro.

I will teach you how to run ads on Instagram and Facebook on your own in one consultation. I will show you how to create and fully configure a turnkey advertising account. I will share life hacks for your business.

💰 Price: 20 euros - purely symbolic
🏝 Dobra Voda, Montenegro. We can meet in person or call via Zoom.

Detailed program:
1) Creation of a turnkey advertising account
+ how to add members
+ how to link a card
+ how to create a company page on facebook
+ how to link an Instagram page
+ how to avoid blocking

2) The structure of the advertising cabinet
– I’ll tell you what a campaign, group, ad is
- Let's take a closer look at the settings within each block
— We will share life hacks on effective advertising that will suit your business

If interested - write to the PM. I will send you a brief where you will answer questions about your business and receive gifts that will help you make a successful advertising launch!",Kotor,7,20 €,True,"🇲🇪 Alendar Alina is an IG/FB targetologist, marketer, contextualist with 5 years of experience.",11/05/2022,00:00
32,"🇲🇪 SUNDAY at the CLUB 兀
👻🎃👻❕October 30

ARTEL 12:00
Art workshop, creative processes.
🎃🎃🎃Pumpkins🎃🎃🎃
We prepare decor items for decorating the house. On the eve of the holiday, we are going to an art party to create funny or terrible pumpkin characters.

Participation - 10 euros. Event 8+
Duration about 2 hours.
Music, tea, cookies

👻👻👻
Star Landmarks 17:00
Another meeting from the cycle ""Wheel of the Year"".

We invite you to celebrate with like-minded people the Celtic New Year - Samhain (modern Halloween), one of the most mystical and mysterious holidays of the wheel of the year, when the border between the two worlds becomes thinner and anything is possible...
Layer by layer, we will analyze the symbols of the holiday... let's create an exciting fairy tale with Tarot cards, in which each participant will go through their own storyline and take out a valuable treasure for themselves - the key to rebirth 🔑

Participation - 10 euros, by appointment, 15 euros - on the day of the event

Posted by: @kiselevastudio
Becici, Acacia, CLUB 兀
SUNDAY",Kotor,4,10 €,True,"🇲🇪 SUNDAY at the CLUB 兀
👻🎃👻❕October 30

ARTEL 12:00
Art workshop, creative processes.",11/13/2022,12:00
33,"BUDVA 🇲🇪

ART PARTY 🎃 halloween

We offer stylish creative and beautiful time 😈.

Program :

🔥 3 hours of creative reboot awaits you at the PERLA restaurant, a cozy company, gifts from us 🎁

🔥 Professional canvases, all material, inventory, creative paintings!

🔥 A glass of wine and snacks from the restaurant!

🔥 Professional photographer!

📍October 30 - SUNDAY, starting at 14:00!
📍Price 55 €, all inclusive!
📍No experience or skills needed, everyone can do it! We have a large selection of different paintings for you 👌

WAITING FOR YOU 🥳

Telegram : @art_mont

Instagram : http://instagram.com/ru_art_monte",Budva,4,55 €,True,"BUDVA 🇲🇪

ART PARTY 🎃 halloween

We offer stylish creative and beautiful time 😈.",11/13/2022,14:00
34,"BRAINS QUIZ - First Flight
Intellectual battle in a pleasant atmosphere
28 of October. Friday.

Brains Quiz is when you:

- Spend time with friends.
Today you are a team and you are fighting in an intellectual battle with other teams. Long live brainstorming!

- All evening answering questions. And not because you were called to the board: for the correct answers you get points that can bring victory!

- Learn a lot of new things.
We have collected all the most interesting from various spheres of life! Questions on logic, erudition, cinema, games, music - we are not limited by the format.

Gather a team of 3 to 5 people, take a good mood with you and come to us. Habituation guaranteed!

To register for the quiz, send the name of the team and the number of participants.

28.10.2022
Battle start time: 20:00
Duration: 2 hours
Cost: 5€ per participant
@BrainsQuiz entry

Location: Club 兀 (Becici, Acacia, floor upstairs, 3兀)",Kotor,7,5 €,True,"BRAINS QUIZ - First Flight
Intellectual battle in a pleasant atmosphere
28 of October.",10/28/2022,00:00
35,"Dear friends, I am glad to invite you to a master class on painting Halloween-themed gingerbread in Budva.
We will write with you 6 gingerbread cookies of different colors, learn how to make two types of icing, play board games while your masterpieces dry and drink delicious, fragrant tea. The duration of the master class is 2-2.5 hours, adults and children from 4 years old are invited!)
💓I will be very glad to you💓
💰💶💰 The cost of participation is 10 euros.
Phone for registration +38269512110",Budva,3,10 €,True,"Dear friends, I am glad to invite you to a master class on painting Halloween-themed gingerbread in Budva.",11/06/2022,00:00
36,"We are waiting for schoolchildren and their parents at an open lesson on cybersecurity at the Russian Center in Podgorica!
Just about the complex 🤩🤩🤩
The team of the School of Programming and Robotics will tell you how to keep children safe in the cyber environment and what is needed to improve their digital literacy.
It will also instruct about the correct behavior on the network, introduce the tools for controlling children in the information space and answer all the questions of parents.

📌 Date and time: November 5 at 12:00

📍 Venue:
Podgorica, st. Moscow, 67

🖍 Admission is free. Registration is required, places are limited.
Tel.: 068 890 525 (Viber, What's App, Telegram)

The program is designed for children 7+",Podgorica,1,,False,We are waiting for schoolchildren and their parents at an open lesson on cybersecurity at the Russian Center in Podgorica!,,
37,"🇲🇪 In honor of the Day of the Municipality of Herceg Novi on October 28 [will be held] (https://bokanews.me/bogat-program-za-dan-opstine-herceg-novi-28-oktobar/) a parade of urban music and majorettes in the city center.

[Montenegro-News](https://t.me/VillaEdelweissMontenegro)",Herceg Novi,,,False,🇲🇪 In honor of the Day of the Municipality of Herceg Novi on October 28 [will be held] (https://bokanews.me/bogat-program-za-dan-opstine-herceg-novi-28-oktobar/) a parade of urban music and majorettes in the city center.,10/28/2022,00:00
38,"We invite the youngest viewers with their parents to a performance in the ""baby theater"" genre called ""Sea Story"".
This is a special genre for special audiences. A child, at this particular age (1-3 years), first encounters such an art form as theater. And it is very important to introduce him to this new world for him: the world of images, sensations, atmosphere and magic!
The performance will take place on October 29 at 11:00.
Address: Budva, Zavala, Harmonia by Dukley hotel
Price: 10e (child + adult).
Duration: 30-40 min.
Booking tickets by phone. +38269740077 (WA, Vib, Tel)",Budva,4,,False,"We invite the youngest viewers with their parents to a performance in the ""baby theater"" genre called ""Sea Story"".",10/29/2022,11:00
39,"We open the winter season of field role-playing games in Budva!

INFORMATION

""Petersburg fairy tales. House on the edge of the forest"" will be held on the eve of Samhain:

29.10.2022

* 17:00 gathering of guests
* 18:00 game start
* 00:00 post-game communication and celebration

Number of players: 15+

Participation: 5€

ABOUT FAIRY TALES

PRI is based on the cycle of urban legends ""Petersburg Tales"" and the tabletop role-playing game of the same name.

REGULATIONS
https://telegra.ph/PRI-Peterburgskie-skazki-Dom-na-krayu-lesa-10-10

Sign up for the game: @LARPdarkFairytales_bot",Budva,,5 €,True,We open the winter season of field role-playing games in Budva!,11/13/2022,17:00
40,"🇲🇪 This Saturday, a mystical and a bit scary action for All Saints' Day will take place. A very pretty little witch and her black cat will make a dunk punch for the dear guests. It will be awesome fun!

This is the night when you can transform into your favorite movie, anime, game character and have a blast. It's time to prepare the costumes!

Participate in full immersion - hellish dances and all that or watch the bar and, without clinking glasses, drink to ""everything is ashes"", the choice is yours.

When? 29.10 Saturday at 19.00
Where? Herceg Novi, Jadran https://maps.app.goo.gl/sEWGo2nc3UmtKKtR9
Who? 16+
How? 10€ with costume and 15€ without

Hurry up to sign up @allrighthome",Bar,,10 €,True,"🇲🇪 This Saturday, a mystical and a bit scary action for All Saints' Day will take place.",11/19/2022,00:00
41,"🇲🇪 We invite everyone to the opening of the Startup Factory project!

October 28 (Friday) at 18:00 in the new coworking IT Branch House, located in the Tre Canne building, Budva. Admission is free, everyone is welcome!

Read more here: https://www.notion.so/Startup-Factory-ce2968322f744e179936decd07d67a73

We will introduce the organizers, tell you more about the conditions of the event, answer questions, register participants and projects for the first season of Startup Factory.

Also, you can still:

- Register to participate as an expert;

- Offer your assistance in organizing additional events, master classes, promotional events and activities within the Startup Factory;

- Become a sponsor or observer from partner companies.

We are waiting for you and your friends, it will be fun!",Budva,4,,False,🇲🇪 We invite everyone to the opening of the Startup Factory project!,11/13/2022,18:00
